#     Num.     of     WP                    
     770                              
#     ID     WP_x[m]     WP_y[m]     Velocity[m/s]     CUT_Flag[1:down:2:up]     area_type     gain_id
#     真中のレーン                              
     408     -46471.9674     -14681.5681     1.666     0     0     0
     409     -46474.1329     -14681.1972     1.6917     0     0     0
     410     -46476.2467     -14680.7897     1.9834     0     0     0
     411     -46478.3253     -14680.4118     2.0668     0     0     0
     412     -46480.4553     -14679.949     2.3537     0     0     0
     413     -46482.6217     -14679.4759     2.311     0     0     0
     414     -46484.7688     -14679.0872     2.2473     0     0     0
     415     -46486.8007     -14678.6276     2.0283     0     0     0
     416     -46488.8532     -14678.1688     1.8999     0     0     0
     417     -46490.8394     -14677.7332     2.1325     0     0     0
     418     -46493.1068     -14677.1719     1.9318     0     0     0
     419     -46495.105     -14676.65     0.7     2     0     0
                                   
#####     ５回目の切り返し（右奥）     #####                         
     420     -46497.0812     -14676.2799     0.5     0     0     1
     421     -46496.8231     -14676.3116     -0.4     0     0     1
     422     -46494.9201     -14676.9728     -1.4115     0     0     1
     423     -46493.4749     -14678.6244     -1.2192     0     0     1
     424     -46493.1733     -14679.3776     -0.4     0     0     1
     425     -46493.4784     -14677.3696     0.4     0     0     1
     426     -46492.8157     -14675.4526     0.5     0     0     1
     427     -46491.0863     -14674.4043     0.5     0     0     1
     428     -46490.6374     -14674.3746     0.4     0     0     1
     429     -46492.6244     -14674.6729     -0.4     0     0     1
     430     -46494.671     -14674.6512     -0.9561     0     0     1
     431     -46495.0935     -14674.5884     -0.2936     0     0     1
     432     -46493.1182     -14674.9613     0.4     0     0     1
     433     -46491.0383     -14675.386     0.5     0     0     1
     434     -46489.0067     -14675.8344     0.5     1     0     1
                                   
#####     ５回本目のレーン（右）     #####                         
     435     -46486.8954     -14676.3358     2.1279     0     0     0
     436     -46484.7344     -14676.782     2.0001     0     0     0
     437     -46482.6392     -14677.1793     2.1273     0     0     0
     438     -46480.3827     -14677.6484     2.3346     0     0     0
     439     -46478.0888     -14678.1052     2.3909     0     0     0
     440     -46475.7904     -14678.6217     2.2467     0     0     0
     441     -46473.4945     -14679.1478     2.5535     0     0     0
     442     -46471.2703     -14679.5096     2.2174     0     0     0
     443     -46468.9286     -14679.9118     2.434     0     0     0
     444     -46466.6757     -14680.3421     2.341     0     0     0
     445     -46464.3256     -14680.7958     2.5131     0     0     0
     446     -46462.0198     -14681.2435     2.2854     0     0     0
     447     -46459.7739     -14681.5582     2.2782     0     0     0
     448     -46457.6728     -14682.0385     2.1039     0     0     0
     449     -46455.6408     -14682.4333     0.7     0     0     0
     450     -46453.418     -14682.8025     0.5     2     0     0
                                   
#####     ６回目の切り返し（右手前）     #####                         
     451     -46451.3034     -14682.7041     0.5     0     0     1
     452     -46449.5831     -14681.6724     0.5     0     0     1
     453     -46449.0156     -14680.691     0.4     0     0     1
     454     -46449.537     -14682.6716     -0.4     0     0     1
     455     -46449.7646     -14684.1411     -0.6038     0     0     1
     456     -46450.1375     -14682.1103     0.4     0     0     1
     457     -46451.8511     -14680.9693     0.5     0     0     1
     458     -46453.8213     -14680.5918     0.5     0     0     1
     459     -46455.8948     -14680.1766     0.5     1     0     1
                                   
#####     ６回本目のレーン（右）     #####                         
     460     -46457.8706     -14679.7624     2.0755     0     0     0
     461     -46459.9576     -14679.4397     2.0468     0     0     0
     462     -46462.0413     -14679.0275     2.2146     0     0     0
     463     -46464.1187     -14678.657     2.0007     0     0     0
     464     -46466.2632     -14678.2584     2.1404     0     0     0
     465     -46468.4022     -14677.8833     2.1328     0     0     0
     466     -46470.4835     -14677.5091     2.066     0     0     0
     467     -46472.5934     -14677.1276     2.079     0     0     0
     468     -46474.6189     -14676.6908     1.9367     0     0     0
     469     -46476.7045     -14676.3019     2.0313     0     0     0
     470     -46478.7691     -14675.8537     2.0542     0     0     0
