# Num. of WP    
3818
# ID WP-x[m] WP-y [m] Velocity [m/s]- CUT-Flag 1:down:2:up- area-type gain-id    
#真中のレーン  
 448  -46486.8255  -14692.2379 2 0 0 0
 449  -46487.1882  -14692.1096 1.9 0 0 0
 450  -46487.5452  -14692.0745 1.7 0 0 0
 451  -46487.8417  -14692.0196 1.5 0 0 0
 452  -46488.5451  -14692.033 2 0 0 0
 453  -46488.8788  -14692.0499 1.6 0 0 0
 454  -46489.228  -14691.9497 1.8 0 0 0
 455  -46489.5331  -14691.8353 1.6 0 0 0
 456  -46490.1469  -14691.6969 1.8 0 0 0
 457  -46490.4843  -14691.6282 1.7 0 0 0
 458  -46490.8566  -14691.5355 1.9 0 0 0
 459  -46491.2334  -14691.4805 1.9 0 0 0
 460  -46491.5957  -14691.4382 1.8 0 0 0
 461  -46491.9531  -14691.3889 1.8 0 0 0
 462  -46492.3217  -14691.3373 1.8 0 0 0
 463  -46492.7009  -14691.2963 1.9 0 0 0
 464  -46493.0798  -14691.2528 1.9 0 0 0
 465  -46493.4605  -14691.1875 1.9 0 0 0
 466  -46493.8369  -14691.1213 1.9 0 0 0
 467  -46494.2156  -14691.0389 1.9 0 0 0
 468  -46494.5692  -14690.9865 1.7 0 0 0
 469  -46494.9147  -14690.9163 1.7 0 0 0
 470  -46495.2797  -14690.8496 1.8 0 0 0
 471  -46495.9725  -14690.7252 1.7 0 0 0
 472  -46496.3059  -14690.6491 1.7 0 0 0
 473  -46496.6668  -14690.5803 1.4 0 0 0
 474  -46496.9703  -14690.515 1.4 0 0 0
 475  -46497.2857  -14690.4813 1.2 0 0 0
 476  -46497.5851  -14690.4375 1.0 0 0 0
 477  -46497.9049  -14690.3956 0.9 0 0 0
 478  -46498.4363  -14690.3287 0.8 2 0 0

##### ３回目の切り返し（左奥） #####
#Forward
 479  -46498.8702  -14690.2897 0.5 0 0 0
# 480  -46499.2127  -14690.2537 0.3 0 0 0
 481  -46499.3149  -14690.2496 0.2 0 0 0
#Backward
 482  -46498.848  -14690.2892  -0.3 0 0 0
 483  -46498.376  -14690.3267  -0.5 0 0 0
 484  -46497.8756  -14690.3126  -0.5 0 0 0
 485  -46497.3959  -14690.2819  -0.5 0 0 0
 486  -46496.9122  -14690.2505  -0.5 0 0 0
 487  -46496.4417  -14690.1504  -0.5 0 0 0
 488  -46496.0007  -14690.0337  -0.5 0 0 0
 489  -46495.5876  -14689.8877  -0.5 0 0 0
 490  -46495.1676  -14689.6995  -0.5 0 0 0
 491  -46494.7837  -14689.4539  -0.5 0 0 0
 492  -46494.4606  -14689.2089  -0.3 0 0 0
 493  -46494.2237  -14689.0007  -0.2 0 0 0
#Forward
 494  -46494.3312  -14689.1093 0.3 0 0 0
 495  -46494.5918  -14689.3665 0.3 0 0 0
 496  -46494.9514  -14689.75 0.5 0 0 0
 497  -46495.1358  -14689.9931 0.7 0 0 0
 498  -46495.2928  -14690.2887 0.7 0 0 0
 499  -46495.4024  -14690.6041 0.7 0 0 0
 500  -46495.4983  -14690.9139 0.7 0 0 0
 501  -46495.6014  -14691.2675 0.7 0 0 0
 502  -46495.6279  -14691.6057 0.7 0 0 0
 503  -46495.6276  -14691.9762 0.7 0 0 0
 504  -46495.6001  -14692.3143 0.7 0 0 0
 505  -46495.5072  -14692.6674 0.7 0 0 0
 506  -46495.3601  -14693.0076 0.7 0 0 0
 507  -46495.2116  -14693.301  0.7 0 0 0
 508  -46495.0207  -14693.5945 0.5 0 0 0
 509  -46494.7941  -14693.84   0.5 0 0 0
 510  -46494.5633  -14694.0328 0.4 0 0 0
